Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Luka Doncic,PG,DAL,37.00,11500,56.72,4.20,16.91,53.20
Giannis Antetokounmpo,PF/C,MIL,0.00,11300,0.00,0.00,0.00,0.00
Victor Wembanyama,C,SAS,33.00,11000,51.02,0.80,18.45,53.20
Jayson Tatum,SF/PF,BOS,36.00,10500,58.88,1.10,18.61,46.70
Karl-Anthony Towns,C,NYK,36.00,10200,51.77,4.60,15.89,52.40
Shai Gilgeous-Alexander,PG,OKC,33.00,10100,54.73,14.60,20.80,54.80
LaMelo Ball,PG,CHA,34.00,9800,47.69,8.20,16.20,51.50
Joel Embiid,C,PHI,33.00,9600,45.76,13.10,18.00,51.00
Franz Wagner,PF,ORL,0.00,9500,0.00,0.00,0.00,0.00
Trae Young,PG,ATL,36.00,9400,45.40,1.90,13.21,43.40
Paolo Banchero,PF,ORL,0.00,9300,0.00,0.00,0.00,0.00
James Harden,PG,LAC,34.00,9200,46.46,10.60,15.12,46.90
Scottie Barnes,PG/SF,TOR,35.00,9100,43.09,5.70,12.75,41.80
Jalen Johnson,PF,ATL,38.00,9000,44.20,2.10,10.64,41.30
Damian Lillard,PG,MIL,0.00,9000,0.00,0.00,0.00,0.00
Alperen Sengun,C,HOU,34.00,8900,47.41,7.40,16.40,46.70
RJ Barrett,PG/SF,TOR,35.00,8900,40.40,1.30,12.31,37.70
Brandon Miller,SG/SF,CHA,0.00,8800,0.00,0.00,0.00,0.00
Ja Morant,PG,MEM,28.00,8800,38.32,0.80,16.37,41.90
Anthony Edwards,PG/SG,MIN,35.00,8700,44.63,25.10,13.30,45.10
Tyrese Maxey,PG,PHI,38.00,8600,37.35,0.80,9.24,42.20
Kyrie Irving,PG/SG,DAL,36.00,8500,40.53,2.10,10.94,40.70
Donovan Mitchell,PG/SG,CLE,29.00,8400,36.71,11.00,14.17,41.50
Nikola Vucevic,C,CHI,33.00,8300,43.07,0.20,13.84,39.80
Jalen Brunson,PG,NYK,35.00,8300,46.02,5.90,14.32,41.00
Paul George,SF/PF,PHI,38.00,8200,36.20,0.60,8.43,38.50
