Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,Field Proj
Tidjane Salaun,PF,CHA,16.0,4500,12.87,0.00,6.36,12.5
Zach Edey,C,MEM,0.0,4500,0.00,0.00,0.00,0.0
Patrick Williams,PF,CHI,24.0,4400,20.01,4.40,7.78,18.2
Moussa Diabate,C,CHA,0.0,4400,0.00,0.00,0.00,8.4
Trendon Watford,PF,BKN,15.0,4400,15.06,0.20,8.60,13.1
Andrew Nembhard,PG/SG,IND,30.0,4300,24.13,16.70,7.65,20.2
Tre Mann,PG/SG,CHA,0.0,4300,0.00,0.00,0.00,0.0
Brandon Clarke,PF/C,MEM,23.0,4300,23.07,16.90,10.10,20.4
Jaxson Hayes,C,LAL,0.0,4300,0.00,0.00,0.00,0.0
Georges Niang,SF/PF,CLE,25.0,4200,20.91,0.00,7.75,19.0
Ben Sheppard,PG/SF,IND,0.0,4200,0.00,0.00,0.00,0.0
Jake LaRavia,SF/PF,MEM,18.0,4200,16.21,0.80,7.93,19.6
Shake Milton,PG/SG,BKN,16.0,4200,12.24,0.00,6.20,12.6
Kevin Porter Jr.,PG,LAC,24.0,4200,25.94,18.80,11.36,24.1
Isaac Okoro,SF/PF,CLE,28.0,4100,19.57,1.70,6.09,16.9
Caleb Martin,SF/PF,PHI,0.0,4100,0.00,0.00,0.00,0.0
Lonzo Ball,PG/SG,CHI,20.0,4100,18.33,0.80,8.10,18.9
Tyrese Martin,SG/SF,BKN,0.0,4100,0.00,0.00,0.00,0.0
Jaylen Wells,SG/SF,MEM,20.0,4100,14.69,0.40,6.45,17.0
Jarred Vanderbilt,PF/C,LAL,0.0,4100,0.00,0.00,0.00,0.0
Derrick Jones Jr.,PF,LAC,0.0,4100,0.00,0.00,0.00,0.0
Marvin Bagley III,C,WAS,15.0,4000,16.47,9.50,9.58,25.2
Aaron Nesmith,SF/PF,IND,0.0,4000,0.00,0.00,0.00,0.0
Talen Horton-Tucker,SF,CHI,7.0,4000,7.14,0.00,4.79,7.1
Vince Williams Jr.,PF,MEM,0.0,4000,0.00,0.00,0.00,0.0
Bojan Bogdanovic,PF,BKN,0.0,4000,0.00,0.00,0.00,0.0
Jaden McDaniels,SF,MIN,32.0,4000,23.71,16.90,6.52,21.1
Max Christie,SF,LAL,26.0,4000,18.42,0.40,6.50,16.6
Julian Strawther,SG/SF,DEN,17.0,4000,11.72,0.00,5.62,15.1
Kris Dunn,PG/SG,LAC,24.0,4000,20.04,8.00,7.80,20.9
Amir Coffey,SF/PF,LAC,28.0,4000,20.51,5.70,6.73,17.9
Kyshawn George,SF/PF,WAS,0.0,3900,0.00,0.00,0.00,0.0
Ty Jerome,PG,CLE,15.0,3900,16.75,0.00,9.42,17.3
Donte DiVincenzo,PG/SG,MIN,23.0,3900,20.26,25.50,8.25,18.4
Gabe Vincent,PG/SG,LAL,28.0,3900,15.71,0.00,4.71,7.0
Dean Wade,SF/PF,CLE,27.0,3800,21.48,0.90,7.04,20.1
Jarace Walker,SF/PF,IND,20.0,3800,15.64,0.20,6.89,16.3
KJ Martin,PF,PHI,15.0,3800,9.60,0.00,4.97,16.0
Nickeil Alexander-Walker,SG/SF,MIN,24.0,3800,18.54,12.20,7.19,18.2
Christian Wood,C,LAL,0.0,3800,0.00,0.00,0.00,0.0
Jared Butler,PG,WAS,19.0,3700,20.35,9.30,10.36,22.2
DaQuan Jeffries,PF,CHA,8.0,3700,6.54,0.00,4.01,4.9
Day'Ron Sharpe,C,BKN,13.0,3700,13.62,0.90,8.19,15.7
Sam Merrill,SG,CLE,20.0,3600,15.89,0.00,6.84,13.4
Matas Buzelis,SF/PF,CHI,20.0,3600,17.28,1.50,7.78,15.5
KJ Simpson,PG,CHA,12.0,3600,10.84,0.00,6.20,14.8
Cam Reddish,SF/PF,LAL,19.0,3600,10.25,0.00,4.30,11.7
Jordan Miller,SG/SF,LAC,24.0,3600,20.79,0.20,8.60,15.6
Kyle Lowry,PG/SG,PHI,0.0,3500,0.00,0.00,0.00,0.0
Jalen Smith,C,CHI,28.0,3500,32.53,3.40,12.13,32.6
Cam Spencer,SG,MEM,0.0,3500,0.00,0.00,0.00,0.0
Christian Koloko,C,LAL,13.0,3500,10.01,0.00,5.39,8.1
Jaylon Tyson,SG/SF,CLE,6.0,3400,4.94,0.00,3.19,5.2
Taj Gibson,C,CHA,0.0,3400,0.00,0.00,0.00,0.0
John Konchar,SG/SF,MEM,0.0,3400,0.00,0.00,0.00,0.0
Bones Hyland,PG,LAC,0.0,3400,0.00,0.00,0.00,3.8
Johnny Davis,SG/SF,WAS,17.0,3300,11.60,0.00,5.55,10.4
Quenton Jackson,SG/SF,IND,0.0,3300,0.00,0.00,0.00,1.7
Jay Huff,C,MEM,15.0,3300,15.25,3.00,8.24,19.7
Terance Mann,SG/SF,LAC,0.0,3300,0.00,0.00,0.00,0.0
Anthony Gill,PF/C,WAS,15.0,3200,11.00,0.00,5.68,8.9
Ricky Council IV,SF,PHI,7.0,3200,4.80,0.00,3.07,3.3
Julian Phillips,PF,CHI,13.0,3200,8.73,0.00,4.55,6.2
Jalen Pickett,PG/SG,DEN,0.0,3200,0.00,0.00,0.00,0.0
Isaiah Wong,PG/SG,CHA,16.0,3100,14.76,0.00,7.77,14.8
Josh Minott,SF,MIN,0.0,3100,0.00,0.00,0.00,2.1
Nicolas Batum,PF/C,LAC,26.0,3100,17.09,9.70,5.70,16.5
Tristan Vukcevic,C,WAS,0.0,3000,0.00,0.00,0.00,0.0
Craig Porter Jr.,PG,CLE,0.0,3000,0.00,0.00,0.00,0.0
Tristan Thompson,C,CLE,0.0,3000,0.00,0.00,0.00,7.2
JT Thor,PF,CLE,0.0,3000,0.00,0.00,0.00,1.4
Luke Travers,SF,CLE,0.0,3000,0.00,0.00,0.00,0.0
Emoni Bates,PG,CLE,0.0,3000,0.00,0.00,0.00,0.0
Richaun Holmes,C,WAS,10.0,3000,9.45,0.00,5.90,0.9
Patrick Baldwin Jr.,PF,WAS,0.0,3000,0.00,0.00,0.00,1.9
Adem Bona,C,PHI,0.0,3000,0.00,0.00,0.00,0.0
Pete Nance,PF/C,PHI,0.0,3000,0.00,0.00,0.00,0.0
Justin Edwards,SF,PHI,0.0,3000,0.00,0.00,0.00,0.0
Eric Gordon,SG/SF,PHI,8.0,3000,4.64,0.00,2.75,4.6
Jeff Dowtin,PG,PHI,0.0,3000,0.00,0.00,0.00,0.0
Reggie Jackson,PG,PHI,11.0,3000,7.91,0.00,4.56,7.9
James Johnson,PF/C,IND,0.0,3000,0.00,0.00,0.00,0.0
Tristen Newton,PG/SG,IND,0.0,3000,0.00,0.00,0.00,0.0
Enrique Freeman,PF/C,IND,0.0,3000,0.00,0.00,0.00,0.0
Johnny Furphy,SG/SF,IND,10.0,3000,6.92,0.00,3.94,5.3
Isaiah Jackson,C,IND,0.0,3000,0.00,0.00,0.00,0.0
James Wiseman,C,IND,0.0,3000,0.00,0.00,0.00,0.0
Jevon Carter,PG/SG,CHI,0.0,3000,0.00,0.00,0.00,0.0
DJ Steward,PG,CHI,0.0,3000,0.00,0.00,0.00,0.0
Chris Duarte,SG,CHI,0.0,3000,0.00,0.00,0.00,0.0
Torrey Craig,PF,CHI,0.0,3000,0.00,0.00,0.00,1.8
E.J. Liddell,C,CHI,0.0,3000,0.00,0.00,0.00,0.0
Adama Sanogo,C,CHI,9.0,3000,8.86,0.00,5.71,8.5
Dalen Terry,SF,CHI,0.0,3000,0.00,0.00,0.00,0.0
Seth Curry,SG,CHA,0.0,3000,0.00,0.00,0.00,3.4
Nick Smith Jr.,SG/SF,CHA,0.0,3000,0.00,0.00,0.00,0.6
Grant Williams,C,CHA,0.0,3000,0.00,0.00,0.00,0.0
Noah Clowney,PF/C,BKN,0.0,3000,0.00,0.00,0.00,3.7
Yuki Kawamura,PG,MEM,0.0,3000,0.00,0.00,0.00,0.0
Colin Castleton,C,MEM,0.0,3000,0.00,0.00,0.00,0.0
Luke Kennard,SG/SF,MEM,14.0,3000,10.59,0.00,5.48,5.6
Gregory Jackson,PF,MEM,0.0,3000,0.00,0.00,0.00,0.0
Cui Yongxi,SF,BKN,0.0,3000,0.00,0.00,0.00,0.0
Dariq Whitehead,SF,BKN,0.0,3000,0.00,0.00,0.00,0.0
Jaylen Martin,SF,BKN,0.0,3000,0.00,0.00,0.00,0.0
Jesse Edwards,C,MIN,0.0,3000,0.00,0.00,0.00,0.0
PJ Dozier,PF,MIN,0.0,3000,0.00,0.00,0.00,0.0
Daishen Nix,PG,MIN,0.0,3000,0.00,0.00,0.00,0.0
Leonard Miller,PF/C,MIN,0.0,3000,0.00,0.00,0.00,0.0
Terrence Shannon Jr.,SG/SF,MIN,0.0,3000,0.00,0.00,0.00,0.0
Jaylen Clark,SG,MIN,0.0,3000,0.00,0.00,0.00,0.0
Luka Garza,C,MIN,0.0,3000,0.00,0.00,0.00,0.0
Rob Dillingham,PG,MIN,0.0,3000,0.00,0.00,0.00,0.0
Joe Ingles,PF,MIN,0.0,3000,0.00,0.00,0.00,0.0
Maxwell Lewis,PF,LAL,0.0,3000,0.00,0.00,0.00,0.0
Armel Traore,PF/C,LAL,0.0,3000,0.00,0.00,0.00,0.0
Quincy Olivari,PG,LAL,0.0,3000,0.00,0.00,0.00,0.0
Bronny James,PG,LAL,0.0,3000,0.00,0.00,0.00,0.0
Jalen Hood-Schifino,PG,LAL,5.0,3000,3.74,0.00,2.47,3.7
Dario Saric,C,DEN,0.0,3000,0.00,0.00,0.00,0.0
Spencer Jones,SG/SF,DEN,0.0,3000,0.00,0.00,0.00,0.0
DeAndre Jordan,C,DEN,4.0,3000,3.46,0.00,2.39,1.7
Trey Alexander,PG/SG,DEN,0.0,3000,0.00,0.00,0.00,0.0
Hunter Tyson,SF/PF,DEN,0.0,3000,0.00,0.00,0.00,2.7
Zeke Nnaji,C,DEN,0.0,3000,0.00,0.00,0.00,1.2
PJ Hall,C,DEN,0.0,3000,0.00,0.00,0.00,0.0
Vlatko Cancar,C,DEN,0.0,3000,0.00,0.00,0.00,0.0
DaRon Holmes II,C,DEN,0.0,3000,0.00,0.00,0.00,0.0
Cam Christie,SG,LAC,0.0,3000,0.00,0.00,0.00,0.0
Kai Jones,PF/C,LAC,0.0,3000,0.00,0.00,0.00,0.8
Trentyn Flowers,SG,LAC,0.0,3000,0.00,0.00,0.00,0.0
Mo Bamba,C,LAC,13.0,3000,13.85,0.40,7.96,15.2
Kobe Brown,PF/C,LAC,0.0,3000,0.00,0.00,0.00,0.0
P.J. Tucker,PF,LAC,0.0,3000,0.00,0.00,0.00,0.0
