Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Luka Doncic,PG,DAL,0.00,11500,0.00,0.00,0.00,0.00
Giannis Antetokounmpo,PF/C,MIL,0.00,11400,0.00,0.00,0.00,0.00
Victor Wembanyama,C,SAS,33.00,10900,54.89,6.10,19.74,54.50
Karl-Anthony Towns,C,NYK,38.00,10400,53.23,4.00,14.88,55.80
Jayson Tatum,SF/PF,BOS,36.00,10300,61.42,7.80,19.24,56.60
Cade Cunningham,PG,DET,36.00,10200,46.96,0.40,13.87,48.40
Joel Embiid,C,PHI,0.00,9600,0.00,0.00,0.00,0.00
Franz Wagner,PF,ORL,0.00,9600,0.00,0.00,0.00,0.00
James Harden,PG,LAC,34.00,9500,46.32,1.70,15.24,50.20
Trae Young,PG,ATL,0.00,9300,0.00,0.00,0.00,0.00
Paolo Banchero,PF,ORL,0.00,9300,0.00,0.00,0.00,0.00
Devin Booker,PG/SG,PHX,0.00,9200,0.00,0.00,0.00,0.00
Kevin Durant,PF/C,PHX,37.00,9100,49.26,30.80,14.00,50.80
Stephen Curry,PG,GSW,32.00,9000,37.89,1.30,12.76,46.20
Ja Morant,PG,MEM,0.00,8900,0.00,0.00,0.00,0.00
Anthony Edwards,PG/SG,MIN,35.00,8900,43.40,3.60,13.05,44.20
Jalen Johnson,PF,ATL,38.00,8800,49.85,6.30,12.19,55.10
Damian Lillard,PG,MIL,0.00,8800,0.00,0.00,0.00,0.00
Tyrese Maxey,PG,PHI,38.00,8700,46.34,0.80,11.96,44.00
Zion Williamson,PF,NOP,0.00,8700,0.00,0.00,0.00,0.00
Paul George,SF/PF,PHI,38.00,8600,44.28,3.80,10.71,42.20
Donovan Mitchell,PG/SG,CLE,33.00,8500,40.58,1.30,13.46,41.80
Nikola Vucevic,C,CHI,33.00,8400,41.45,0.00,13.16,41.70
Jaylen Brown,SG/SF,BOS,36.00,8300,49.63,1.70,14.06,43.50
Dejounte Murray,PG,NOP,37.00,8300,43.91,4.20,11.41,39.10
Kyrie Irving,PG/SG,DAL,36.00,8200,42.98,12.70,11.77,42.40
Bam Adebayo,C,MIA,35.00,8200,43.32,5.10,13.05,41.00
Jalen Brunson,PG,NYK,35.00,8200,42.36,4.80,13.18,44.60
Brandon Ingram,PG,NOP,0.00,8100,0.00,0.00,0.00,0.00
Kawhi Leonard,PF/C,LAC,0.00,8000,0.00,0.00,0.00,0.00
Jimmy Butler,SF/PF,MIA,0.00,8000,0.00,0.00,0.00,0.00
Jalen Suggs,PG,ORL,0.00,7600,0.00,0.00,0.00,0.00
Jordan Poole,PG/SG,WAS,35.00,7600,37.34,0.60,10.29,37.30
Julius Randle,PF/C,MIN,33.00,7600,37.57,2.30,12.21,37.90
Evan Mobley,PF/C,CLE,33.00,7500,39.80,3.80,13.15,39.80
Jaren Jackson Jr.,PF/C,MEM,29.00,7400,37.12,25.30,14.73,48.00
Kristaps Porzingis,C,BOS,0.00,7400,0.00,0.00,0.00,0.00
Bradley Beal,SG/SF,PHX,33.00,7400,32.59,13.30,9.53,34.00
Cameron Johnson,SF/PF,BKN,36.00,7300,40.68,14.40,10.77,33.40
Zach LaVine,SG/SF,CHI,35.00,7300,37.15,1.90,10.22,34.60
Tyler Herro,PG,MIA,36.00,7200,41.19,15.80,11.36,40.90
John Collins,PF/C,UTA,34.00,7100,38.43,8.90,11.53,43.60
CJ McCollum,PG/SG,NOP,36.00,7100,37.90,4.90,9.93,34.70
Cam Thomas,SG/SF,BKN,0.00,7000,0.00,0.00,0.00,0.00
Darius Garland,PG,CLE,32.00,7000,34.98,1.30,11.52,38.70
Ivica Zubac,C,LAC,33.00,7000,40.11,10.80,13.19,40.00
Josh Hart,SF/PF,NYK,37.00,7000,34.19,10.40,7.70,34.20
Derrick White,PG/SG,BOS,36.00,6900,41.90,9.90,10.05,39.10
Josh Giddey,PG,CHI,0.00,6900,0.00,0.00,0.00,0.00
Norman Powell,SG/SF,LAC,36.00,6800,36.21,9.30,9.34,37.10
PJ Washington,PF,DAL,35.00,6800,33.09,0.90,8.27,36.10
Lauri Markkanen,SF/PF,UTA,33.00,6700,36.24,17.70,11.24,35.10
Deandre Ayton,C,POR,33.00,6700,36.69,1.10,11.73,33.30
Jaden Ivey,PG/SG,DET,28.00,6700,27.03,0.00,10.07,28.00
Desmond Bane,SG/SF,MEM,29.00,6600,31.94,26.80,11.48,37.00
Coby White,PG/SG,CHI,35.00,6600,33.45,0.00,8.61,32.40
Jarrett Allen,C,CLE,31.00,6600,33.97,0.00,11.67,36.30
Anfernee Simons,PG,POR,34.00,6600,33.61,3.20,9.60,30.00
Kyle Kuzma,PF,WAS,0.00,6600,0.00,0.00,0.00,0.00
Jeremy Sochan,PF,SAS,31.00,6500,32.24,2.70,10.60,35.20
Trey Murphy III,SG/SF,NOP,36.00,6500,33.54,3.00,8.19,34.30
Walker Kessler,C,UTA,33.00,6400,35.14,9.30,10.40,35.30
Andrew Wiggins,SF/PF,GSW,32.00,6400,29.69,1.30,9.17,31.50
Ayo Dosunmu,PG/SG,CHI,37.00,6300,33.00,0.00,7.24,27.60
Rudy Gobert,C,MIN,34.00,6300,32.36,3.40,8.90,33.40
Draymond Green,PF/C,GSW,0.00,6300,0.00,0.20,0.00,28.40
Dyson Daniels,PG/SG,ATL,37.00,6200,36.05,6.80,7.86,34.70
Kelly Oubre Jr.,SG,PHI,38.00,6200,32.24,0.40,6.62,27.40
Jusuf Nurkic,C,PHX,29.00,6200,33.27,0.40,12.08,33.00
Andre Drummond,C,PHI,27.00,6100,30.50,1.10,12.25,29.00
Chris Paul,PG,SAS,28.00,6100,30.08,0.60,10.64,31.20
Jerami Grant,PF,POR,35.00,6100,29.92,2.10,7.53,28.40
OG Anunoby,SF/PF,NYK,37.00,6100,32.07,3.40,7.11,31.30
Keyonte George,PG,UTA,0.00,6000,0.00,0.00,0.00,0.00
Payton Pritchard,PG/SG,BOS,31.00,6000,34.85,0.40,10.75,30.70
Jonathan Kuminga,PF,GSW,26.00,6000,27.28,0.00,11.55,25.20
Shaedon Sharpe,PG/SG,POR,33.00,5900,30.05,0.00,8.89,27.70
Goga Bitadze,C,ORL,28.00,5900,34.16,5.90,13.27,30.50
Mikal Bridges,SG/SF,NYK,38.00,5900,31.36,8.70,6.40,28.30
Justin Champagnie,SF/PF,WAS,30.00,5900,27.41,0.00,8.73,24.80
Jalen Duren,C,DET,26.00,5900,28.30,0.20,11.67,31.50
Jose Alvarado,PG,NOP,0.00,5800,0.00,0.00,0.00,0.00
Bilal Coulibaly,SF,WAS,36.00,5800,30.06,0.90,6.87,27.90
Tyus Jones,PG,PHX,34.00,5800,33.16,3.80,8.73,27.40
Tobias Harris,PF,DET,31.00,5800,28.37,0.00,8.92,27.50
Ben Simmons,PG,BKN,31.00,5700,30.89,11.40,9.80,28.70
Dennis Schroder,PG/SG,GSW,28.00,5700,26.96,0.40,10.02,28.30
Santi Aldama,PF,MEM,24.00,5600,26.12,0.20,11.12,26.60
Nic Claxton,C,BKN,30.00,5600,33.43,7.40,12.02,28.00
De'Andre Hunter,SF/PF,ATL,30.00,5500,31.33,9.30,10.80,40.20
Clint Capela,C,ATL,26.00,5500,31.67,3.00,13.24,33.80
Dereck Lively II,C,DAL,29.00,5500,31.17,0.80,10.99,31.50
Deni Avdija,SF/PF,POR,22.00,5500,21.53,0.00,9.84,22.50
Yves Missi,C,NOP,32.00,5500,30.66,0.80,9.40,29.10
Alexandre Sarr,PF/C,WAS,29.00,5500,29.41,0.80,10.13,31.50
Brook Lopez,C,MIL,32.00,5500,29.89,2.10,8.23,29.60
Klay Thompson,SG/SF,DAL,29.00,5400,28.16,5.30,9.59,25.50
Devin Vassell,SG/SF,SAS,33.00,5400,32.43,29.60,9.39,35.30
Jordan Clarkson,SG,UTA,28.00,5300,28.78,14.10,10.72,27.60
Bobby Portis,PF/C,MIL,32.00,5300,45.60,30.00,15.43,32.20
Malcolm Brogdon,PG/SG,WAS,28.00,5300,28.98,2.80,11.06,24.30
Royce O'Neale,SF/PF,PHX,29.00,5300,26.41,1.90,8.54,28.50
Julian Champagnie,SG/SF,SAS,25.00,5200,21.61,0.00,8.16,20.00
Khris Middleton,SG/SF,MIL,24.00,5200,33.60,20.50,15.45,27.60
Carlton Carrington,PG/SG,WAS,27.00,5200,20.11,0.90,6.81,26.00
Malik Beasley,SG/SF,DET,27.00,5200,23.25,0.00,8.32,20.30
Ziaire Williams,SG/SF,BKN,0.00,5100,0.00,0.00,0.00,0.00
Jrue Holiday,PG,BOS,29.00,5100,29.86,1.30,9.91,25.50
Caris LeVert,PG/SG,CLE,23.00,5100,21.46,0.00,9.25,24.20
Naji Marshall,SF/PF,DAL,24.00,5100,22.54,1.70,9.44,21.30
Herbert Jones,SF/PF,NOP,37.00,5100,29.51,3.40,6.19,17.70
Saddiq Bey,SF,WAS,0.00,5100,0.00,0.00,0.00,0.00
Collin Sexton,PG/SG,UTA,26.00,5000,26.82,19.40,11.01,28.40
Max Strus,SG/SF,CLE,0.00,5000,0.00,0.00,0.00,0.00
Toumani Camara,SG/SF,POR,32.00,5000,23.16,0.60,6.21,22.70
Grayson Allen,SG,PHX,32.00,5000,28.05,3.20,7.98,22.40
Dorian Finney-Smith,PF,BKN,0.00,4900,0.00,0.00,0.00,0.00
Al Horford,PF/C,BOS,23.00,4800,22.66,0.00,9.08,21.90
Guerschon Yabusele,PF/C,PHI,14.00,4800,12.12,0.00,6.65,20.90
Stephon Castle,PG/SG,SAS,21.00,4800,19.30,0.20,8.86,19.10
Wendell Carter Jr.,PF/C,ORL,28.00,4800,26.83,4.20,9.52,28.00
Mike Conley,PG,MIN,28.00,4800,25.58,2.30,8.81,24.80
Zach Edey,C,MEM,25.00,4700,27.25,15.40,11.38,29.30
Spencer Dinwiddie,PG,DAL,24.00,4700,19.79,0.80,7.82,19.70
Robert Williams,PF/C,POR,12.00,4700,12.55,0.00,7.64,18.30
Terry Rozier,PG/SG,MIA,26.00,4700,22.59,0.00,8.60,19.40
Anthony Black,PG/SG,ORL,32.00,4700,30.75,0.00,9.16,24.40
Brandon Boston Jr.,PG/SF,NOP,22.00,4700,19.17,0.00,8.39,18.00
Jonas Valanciunas,C,WAS,15.00,4700,20.51,0.00,12.70,20.40
Ausar Thompson,SF/PF,DET,21.00,4700,19.81,0.00,9.15,16.40
Buddy Hield,SG,GSW,21.00,4700,18.08,0.00,7.96,21.40
Bogdan Bogdanovic,SG/SF,ATL,28.00,4600,27.45,8.00,9.49,28.10
Jalen Wilson,SF,BKN,24.00,4600,18.43,1.70,7.23,19.60
Kevin Porter Jr.,PG,LAC,22.00,4600,23.62,0.40,11.10,20.30
Moritz Wagner,C,ORL,19.00,4600,25.06,4.20,13.93,24.00
Naz Reid,PF/C,MIN,23.00,4600,23.16,3.00,10.07,26.30
Onyeka Okongwu,C,ATL,0.00,4500,0.00,0.00,0.00,0.00
Noah Clowney,PF/C,BKN,29.00,4500,25.79,0.00,8.48,15.20
Shake Milton,PG/SG,BKN,25.00,4500,20.82,0.20,8.10,16.30
Sam Hauser,SF/PF,BOS,0.00,4500,0.00,0.00,0.00,0.00
Quentin Grimes,SG/SF,DAL,26.00,4500,21.98,1.90,8.07,21.70
Scoot Henderson,PG,POR,27.00,4500,24.84,0.80,9.44,20.10
Donovan Clingan,C,POR,12.00,4500,12.33,0.00,7.35,18.40
Jordan Hawkins,PG/SG,NOP,17.00,4500,13.29,0.00,6.58,13.70
Jaden McDaniels,SF,MIN,29.00,4500,22.60,4.20,7.23,22.70
Trendon Watford,PF,BKN,0.00,4400,0.00,0.00,0.00,0.00
Keldon Johnson,SF/PF,SAS,24.00,4400,23.30,4.80,9.85,20.30
Larry Nance Jr.,PF/C,ATL,23.00,4300,23.55,1.10,9.89,24.10
Talen Horton-Tucker,SF,CHI,16.00,4300,16.00,0.00,8.64,20.60
Daniel Gafford,C,DAL,16.00,4300,19.17,0.20,11.04,22.30
