Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Giannis Antetokounmpo,PF/C,MIL,37.00,11300,63.04,61.60,21.89,63.20
Shai Gilgeous-Alexander,PG,OKC,36.00,10300,53.38,19.80,18.08,51.10
LaMelo Ball,PG,CHA,0.00,9800,0.00,0.00,0.00,0.00
Joel Embiid,C,PHI,31.00,9500,42.15,21.80,17.23,36.60
Tyrese Maxey,PG,PHI,38.00,9000,39.25,11.00,9.78,43.00
Brandon Miller,SG/SF,CHA,0.00,8900,0.00,0.00,0.00,0.00
Damian Lillard,PG,MIL,0.00,8800,0.00,0.00,0.00,0.00
Donovan Mitchell,PG/SG,CLE,33.00,8700,39.24,28.10,12.76,42.30
Paul George,SF/PF,PHI,37.00,8500,37.47,19.40,9.42,40.00
Jalen Williams,PF,OKC,34.00,8300,40.54,17.30,12.77,45.10
Bam Adebayo,C,MIA,35.00,8100,43.16,18.60,12.85,40.00
Jimmy Butler,SF/PF,MIA,34.00,7900,38.78,22.20,12.40,38.70
Chet Holmgren,PF,OKC,0.00,7800,0.00,0.00,0.00,0.00
Evan Mobley,PF/C,CLE,33.00,7700,39.22,36.30,12.83,41.50
Tyler Herro,PG,MIA,36.00,7400,38.98,23.60,10.34,39.90
Darius Garland,PG,CLE,32.00,7200,34.32,18.80,11.15,39.20
Isaiah Hartenstein,C,OKC,32.00,7000,37.15,17.30,12.20,38.40
Jarrett Allen,C,CLE,31.00,6700,33.35,5.90,11.38,36.70
Miles Bridges,PF,CHA,31.00,6300,37.99,45.60,13.18,29.80
Kelly Oubre Jr.,SG,PHI,37.00,6100,26.96,4.60,5.81,26.00
Andre Drummond,C,PHI,13.00,6000,13.20,0.00,7.97,15.80
Brook Lopez,C,MIL,32.00,5600,25.26,4.40,6.91,29.60
Bobby Portis,PF/C,MIL,26.00,5400,30.46,33.60,12.86,29.00
Khris Middleton,SG/SF,MIL,24.00,5300,25.55,28.30,11.16,26.80
Caris LeVert,PG/SG,CLE,23.00,5200,21.34,8.00,9.18,24.50
Cody Martin,SF,CHA,31.00,5200,26.00,10.80,7.51,23.40
Nick Richards,C,CHA,30.00,5100,34.99,22.60,12.62,27.70
Max Strus,SG/SF,CLE,21.00,5000,15.93,0.00,6.79,12.90
Guerschon Yabusele,PF/C,PHI,24.00,5000,17.99,0.80,7.14,16.70
Mark Williams,C,CHA,0.00,4900,0.00,0.00,0.00,0.00
Josh Green,SF/PF,CHA,29.00,4800,19.78,4.20,5.98,16.10
Luguentz Dort,SG/SF,OKC,32.00,4700,23.92,23.90,6.46,22.40
Terry Rozier,PG/SG,MIA,26.00,4600,22.09,6.60,8.30,20.90
Tidjane Salaun,PF,CHA,22.00,4500,16.95,0.80,6.93,12.90
Cason Wallace,PG/SG,OKC,25.00,4400,17.86,5.10,6.45,18.10
Dru Smith,PG,MIA,20.00,4300,14.17,0.80,6.11,22.80
Georges Niang,SF/PF,CLE,19.00,4200,14.22,0.40,6.49,15.20
Duncan Robinson,SG,MIA,21.00,4200,17.00,3.60,7.43,18.30
KJ Martin,PF,PHI,20.00,4100,12.34,0.20,5.44,15.10
Tre Mann,PG/SG,CHA,0.00,4100,0.00,0.00,0.00,0.00
Isaac Okoro,SF/PF,CLE,0.00,4000,0.00,0.00,0.00,0.00
Alex Caruso,SG/SF,OKC,19.00,4000,15.86,5.30,7.28,18.40
Vasilije Micic,PG,CHA,33.00,4000,31.63,55.90,8.88,19.90
Caleb Martin,SF/PF,PHI,0.00,4000,0.00,0.00,0.00,0.00
Jaime Jaquez Jr.,SF/PF,MIA,17.00,3900,15.41,2.10,8.06,16.70
