Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Giannis Antetokounmpo,PF/C,MIL,0.00,11300,0.00,0.11,0.00,0.00
Shai Gilgeous-Alexander,PG,OKC,35.00,10300,50.03,10.90,17.52,54.40
LaMelo Ball,PG,CHA,34.00,10000,48.54,9.94,15.82,53.10
Franz Wagner,PF,ORL,0.00,9500,0.00,0.10,0.00,0.00
Paolo Banchero,PF,ORL,0.00,9400,0.00,0.09,0.00,0.00
Damian Lillard,PG,MIL,0.00,9300,0.00,0.09,0.00,0.00
Trae Young,PG,ATL,36.00,9200,51.14,29.41,14.99,49.30
Scottie Barnes,PG/SF,TOR,35.00,9100,45.94,13.31,13.57,45.60
Jalen Johnson,PF,ATL,38.00,9000,48.39,18.23,11.74,45.00
RJ Barrett,PG/SF,TOR,35.00,8900,43.56,6.94,13.21,41.10
Brandon Miller,SG/SF,CHA,35.00,8800,37.82,4.35,10.10,36.40
Zion Williamson,PF,NOP,0.00,8700,0.00,0.09,0.00,0.00
Alperen Sengun,C,HOU,34.00,8600,46.57,20.91,15.91,44.20
Ja Morant,PG,MEM,29.00,8500,41.87,6.18,17.36,43.30
Dejounte Murray,PG,NOP,35.00,8400,43.27,8.95,12.65,39.50
Nikola Vucevic,C,CHI,33.00,8300,43.22,12.49,13.88,40.00
Tyrese Haliburton,PG,IND,35.00,8200,38.34,5.55,10.54,39.10
Bam Adebayo,C,MIA,35.00,8100,42.16,10.18,12.90,38.80
Brandon Ingram,PG,NOP,0.00,8100,0.00,0.08,0.00,0.00
Jalen Williams,PF,OKC,34.00,8000,39.72,5.41,12.62,41.70
Jimmy Butler,SF/PF,MIA,0.00,8000,0.00,0.08,0.00,0.00
Tyler Herro,PG/SG,MIA,37.00,7900,39.54,6.02,10.28,41.60
Chet Holmgren,PF,OKC,0.00,7800,0.00,0.08,0.00,0.00
Jalen Suggs,PG,ORL,33.00,7800,40.73,9.42,12.79,38.40
Jordan Poole,PG/SG,WAS,34.00,7700,42.85,23.92,12.57,36.60
Pascal Siakam,PF,IND,34.00,7600,35.45,3.99,10.57,37.80
Jakob Poeltl,C,TOR,0.00,7500,0.00,0.07,0.00,0.00
Cameron Johnson,SF/PF,BKN,34.00,7400,34.61,4.39,9.95,35.10
Isaiah Hartenstein,C,OKC,32.00,7300,37.55,7.64,12.52,37.90
Jaren Jackson Jr.,PF/C,MEM,29.00,7200,37.24,6.00,14.80,38.20
Zach LaVine,SG/SF,CHI,35.00,7100,37.89,11.02,10.31,35.70
