Name,Position,Team,Minutes,Salary,Fpts,Own%,StdDev,FieldFpts
Luka Doncic,PG,DAL,0.00,11700,0.00,0.00,0.00,0.00
Victor Wembanyama,C,SAS,33.00,10700,54.20,10.10,19.44,58.30
Shai Gilgeous-Alexander,PG,OKC,36.00,10300,53.03,2.50,18.00,50.10
Karl-Anthony Towns,C,NYK,38.00,10200,50.69,1.30,14.23,50.10
Jayson Tatum,SF/PF,BOS,36.00,10100,51.18,12.30,15.60,49.90
LaMelo Ball,PG,CHA,30.00,9900,46.01,1.30,18.05,45.20
Cade Cunningham,PG,DET,36.00,9800,53.78,26.40,16.26,52.90
James Harden,PG,LAC,34.00,9700,45.43,2.10,14.66,46.50
Franz Wagner,PF,ORL,0.00,9600,0.00,0.00,0.00,0.00
Devin Booker,PG/SG,PHX,36.00,9500,44.73,0.20,12.97,46.60
Trae Young,PG,ATL,36.00,9400,47.89,5.50,13.86,47.40
Paolo Banchero,PF,ORL,0.00,9400,0.00,0.00,0.00,0.00
Scottie Barnes,PG/SF,TOR,32.00,9300,46.20,2.70,16.40,44.30
Stephen Curry,PG,GSW,32.00,9300,42.46,0.90,14.51,42.90
RJ Barrett,PG/SF,TOR,0.00,9200,0.00,0.00,0.00,0.00
Anthony Edwards,PG/SG,MIN,36.00,9100,43.30,1.70,12.36,42.70
Ja Morant,PG,MEM,31.00,9000,43.14,9.10,16.60,44.50
Kevin Durant,PF/C,PHX,37.00,9000,46.07,7.80,12.54,47.10
Brandon Miller,SG/SF,CHA,0.00,8900,0.00,0.00,0.00,0.00
Alperen Sengun,C,HOU,34.00,8800,49.29,11.00,16.81,47.40
Zion Williamson,PF,NOP,0.00,8700,0.00,0.00,0.00,0.00
Nikola Vucevic,C,CHI,33.00,8600,40.71,0.00,12.99,38.80
Jaylen Brown,SG/SF,BOS,36.00,8500,42.06,7.20,11.65,41.00
Dejounte Murray,PG,NOP,37.00,8500,42.15,1.10,10.92,40.70
Jalen Johnson,PF,ATL,38.00,8400,44.89,16.30,10.74,40.60
