Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Paul George,SF/SG/G/F/UTIL,PHI,54.3775,10.30859401272419,64.17%,7.31%,7.62%,3.66%,$34.06,36
Mikal Bridges,SF/SG/G/F/UTIL,NYK,42.198125000000005,5.33087161832556,46.05%,5.26%,5.17%,8.29%,$31.54,36
Daniel Gafford,C/UTIL,DAL,33.01,14.71,42.15%,2.72%,11.88%,35.07%,$11.28,48
Keaton Wallace,PG/G/UTIL,ATL,29.14,9.0,47.68%,3.45%,17.82%,31.45%,$9.51,48
Victor Wembanyama,C/UTIL,SAS,60.1,18.93,34.51%,1.92%,19.0%,18.73%,$8.55,48
Jalen Brunson,PG/G/UTIL,NYK,52.833124999999995,14.03347749366776,40.55%,2.21%,38.93%,20.77%,$5.80,36
David Roddy,PF/F/UTIL,ATL,19.92,8.44,28.38%,1.79%,11.7%,14.54%,$5.67,48
Keldon Johnson,PF/SF/F/UTIL,SAS,24.11,10.32,20.43%,0.9%,10.56%,8.19%,$5.45,48
Buddy Hield,SF/SG/G/F/UTIL,GSW,31.18,8.56,65.4%,2.36%,0.45%,0.16%,$4.68,48
Jonathan Isaac,C/PF/F/UTIL,ORL,24.51,11.13,28.0%,1.55%,12.29%,11.68%,$2.76,48
Stephon Castle,PG/SG/G/UTIL,SAS,29.22,9.33,32.9%,1.51%,33.73%,38.25%,$2.19,48
Josh Hart,PF/SF/F/UTIL,NYK,47.490625,8.290598447427447,44.17%,2.21%,17.41%,5.81%,$1.86,36
Mark Williams,C/UTIL,CHA,36.11,14.58,26.36%,1.07%,13.58%,31.68%,$1.62,48
PJ Washington,PF/F/UTIL,DAL,37.09,9.55,24.01%,2.46%,1.93%,1.49%,$1.41,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.65,11.19,28.02%,1.33%,27.45%,22.75%,$0.54,48
OG Anunoby,PF/SF/F/UTIL,NYK,33.343125,6.1632947890104655,29.63%,1.62%,13.33%,14.78%,$0.09,36
Wendell Carter Jr.,C/UTIL,ORL,32.62,10.12,39.16%,1.54%,8.57%,25.03%,$-0.16,48
Jakob Poeltl,C/UTIL,TOR,35.01418402777778,11.19148808497894,9.73%,2.79%,1.56%,8.98%,$-0.45,47
Alperen Sengun,C/UTIL,HOU,49.49,16.35,29.49%,1.69%,10.22%,13.0%,$-0.68,48
Cole Anthony,PG/SG/G/UTIL,ORL,33.53,12.53,16.05%,0.92%,8.37%,5.69%,$-1.61,48
Onyeka Okongwu,C/UTIL,ATL,31.42,13.02,33.13%,1.38%,7.07%,19.08%,$-1.83,48
Andrew Wiggins,PF/SF/F/UTIL,GSW,33.38,9.29,25.53%,1.05%,6.55%,4.18%,$-2.03,48
Naz Reid,C/PF/F/UTIL,MIN,24.93,11.09,19.03%,0.96%,3.22%,2.51%,$-2.13,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,ATL,28.43,9.84,25.34%,0.91%,46.43%,34.79%,$-2.14,48
Julian Phillips,PF/F/UTIL,CHI,8.79,4.64,38.41%,0.02%,0.16%,0.1%,$-2.33,48
Peyton Watson,PF/F/UTIL,DEN,21.89,7.03,26.73%,2.04%,0.57%,0.58%,$-2.49,48
Keyonte George,PG/G/UTIL,UTA,32.56,12.08,21.93%,0.95%,8.52%,11.08%,$-2.99,48
Julius Randle,C/PF/F/UTIL,MIN,40.37,12.62,30.46%,0.68%,8.77%,5.02%,$-2.99,48
Jayson Tatum,PF/SF/F/UTIL,BOS,50.555802951388884,15.168710041104612,20.38%,0.53%,4.87%,8.43%,$-3.19,47
Cam Whitmore,PF/SF/F/UTIL,HOU,20.62,10.07,23.75%,0.85%,8.5%,6.92%,$-3.22,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,29.74,10.59,25.0%,0.64%,14.53%,7.93%,$-3.29,48
Nikola Jokic,C/UTIL,DEN,62.44,20.82,24.02%,0.76%,21.06%,17.69%,$-3.35,48
Devin Vassell,SF/SG/G/F/UTIL,SAS,34.9,9.77,26.34%,0.55%,21.4%,11.71%,$-3.40,48
Giannis Antetokounmpo,C/PF/F/UTIL,MIL,56.92,21.85,22.42%,0.73%,26.5%,11.52%,$-3.54,48
Kentavious Caldwell-Pope,SG/G/UTIL,ORL,22.68,5.97,32.45%,0.0%,0.25%,0.36%,$-3.70,48
Russell Westbrook,PG/G/UTIL,DEN,37.99,11.98,22.83%,0.88%,5.67%,5.41%,$-3.76,48
Garrison Mathews,SF/SG/G/F/UTIL,ATL,20.75,8.37,23.33%,0.76%,23.8%,17.91%,$-3.80,48
Trayce Jackson-Davis,C/UTIL,GSW,33.5,11.77,21.17%,0.8%,0.36%,0.69%,$-3.87,48
Jalen Green,SG/G/UTIL,HOU,38.69,9.78,26.15%,0.49%,4.87%,4.44%,$-3.96,48
Aaron Holiday,PG/G/UTIL,HOU,8.01,4.54,27.03%,0.0%,0.05%,0.1%,$-3.98,48
Jeremiah Robinson-Earl,C/PF/F/UTIL,NOP,17.26,7.86,19.34%,0.31%,18.52%,18.26%,$-4.02,48
Vit Krejci,PG/SG/G/UTIL,ATL,23.51,7.53,19.84%,0.55%,32.33%,34.6%,$-4.09,48
Spencer Dinwiddie,PG/G/UTIL,DAL,32.4,9.69,30.37%,0.0%,0.07%,0.08%,$-4.09,48
Trey Murphy III,SF/SG/G/F/UTIL,NOP,38.18,9.87,21.22%,0.47%,13.1%,5.78%,$-4.14,48
Amen Thompson,SF/SG/G/F/UTIL,HOU,41.82,9.14,23.08%,0.66%,10.18%,3.86%,$-4.22,48
Bobby Portis,C/PF/F/UTIL,MIL,24.95,11.99,10.75%,0.62%,4.42%,3.38%,$-4.26,48
Jamal Cain,SF/F/UTIL,NOP,0,0.0,28.07%,0.0%,0.07%,0.03%,$-4.28,48
Naji Marshall,PF/SF/F/UTIL,DAL,27.03,10.02,19.24%,0.6%,5.28%,3.27%,$-4.41,48
Santi Aldama,PF/F/UTIL,MEM,20.76,9.87,15.13%,0.61%,3.92%,4.11%,$-4.41,48
Micah Potter,C/PF/F/UTIL,UTA,14.97,6.33,22.23%,0.01%,0.11%,0.1%,$-4.47,48
Dillon Brooks,PF/F/UTIL,HOU,27.5,6.09,23.14%,0.26%,2.63%,2.88%,$-4.51,48
Rudy Gobert,C/UTIL,MIN,33.37,9.29,20.74%,0.77%,3.72%,7.83%,$-4.53,48
Tristan da Silva,PF/SF/F/UTIL,ORL,25.34,7.09,23.23%,0.11%,4.65%,3.68%,$-4.55,48
Davion Mitchell,PG/SG/G/UTIL,TOR,17.286575520833335,5.921422267184625,24.92%,0.0%,0.18%,1.96%,$-4.60,47
Dejounte Murray,PG/G/UTIL,NOP,44.67,13.27,19.95%,0.69%,4.96%,3.96%,$-4.68,48
