Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Mikal Bridges,SF/SG/G/F/UTIL,NYK,36.13,6.34,49.51%,7.67%,7.21%,8.29%,$14.57,48
Keaton Wallace,PG/G/UTIL,ATL,29.14,9.0,55.72%,3.71%,23.74%,31.45%,$12.30,48
Wendell Carter Jr.,C/UTIL,ORL,32.62,10.12,43.22%,2.73%,9.66%,25.03%,$9.29,48
Daniel Gafford,C/UTIL,DAL,33.01,14.71,42.73%,3.43%,13.04%,35.07%,$8.98,48
Alperen Sengun,C/UTIL,HOU,49.49,16.35,31.2%,2.32%,10.47%,13.0%,$5.93,48
Spencer Dinwiddie,PG/G/UTIL,DAL,32.4,9.69,96.95%,0.05%,0.11%,0.08%,$5.28,48
Jalen Brunson,PG/G/UTIL,NYK,50.37,16.69,33.84%,2.24%,40.97%,20.77%,$4.52,48
Stephon Castle,PG/SG/G/UTIL,SAS,29.22,9.33,29.81%,1.41%,35.34%,38.25%,$2.34,48
Victor Wembanyama,C/UTIL,SAS,60.1,18.93,29.56%,1.45%,19.25%,18.73%,$1.86,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,29.74,10.59,28.15%,1.41%,14.01%,7.93%,$1.73,48
Devin Vassell,SF/SG/G/F/UTIL,SAS,34.9,9.77,26.24%,1.48%,22.72%,11.71%,$1.58,48
Julius Randle,C/PF/F/UTIL,MIN,40.37,12.62,36.07%,2.11%,10.13%,5.02%,$1.07,48
Precious Achiuwa,C/PF/F/UTIL,NYK,23.14,9.45,19.98%,0.43%,8.25%,14.51%,$0.78,48
Jeremiah Robinson-Earl,C/PF/F/UTIL,NOP,23.23,8.28,32.84%,1.82%,20.11%,18.26%,$0.72,48
Jayson Tatum,PF/SF/F/UTIL,BOS,52.73,15.37,26.65%,1.51%,22.83%,8.43%,$0.71,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.65,11.19,28.15%,1.17%,27.45%,22.75%,$0.01,48
Josh Hart,PF/SF/F/UTIL,NYK,41.65,9.86,28.8%,0.8%,18.43%,5.81%,$-0.22,48
Giannis Antetokounmpo,C/PF/F/UTIL,MIL,56.92,21.85,23.13%,0.97%,24.85%,11.52%,$-0.78,48
Peyton Watson,PF/F/UTIL,DEN,21.89,7.03,22.83%,3.28%,0.36%,0.58%,$-0.84,48
Onyeka Okongwu,C/UTIL,ATL,31.42,13.02,26.19%,1.64%,7.62%,19.08%,$-0.87,48
Jaylen Brown,SF/SG/G/F/UTIL,BOS,43.86,11.82,30.23%,1.34%,7.46%,2.8%,$-0.99,48
Paul George,SF/SG/G/F/UTIL,PHI,44.56,12.26,34.25%,1.14%,8.64%,3.66%,$-1.34,48
Keyonte George,PG/G/UTIL,UTA,32.56,12.08,26.53%,0.9%,9.2%,11.08%,$-1.47,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,ATL,28.43,9.84,21.19%,0.71%,45.32%,34.79%,$-1.55,48
Jonathan Isaac,C/PF/F/UTIL,ORL,24.51,11.13,28.29%,1.29%,12.49%,11.68%,$-1.92,48
OG Anunoby,PF/SF/F/UTIL,NYK,33.61,7.33,26.88%,0.73%,13.33%,14.78%,$-2.02,48
