Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Paul George,SF/SG/G/F/UTIL,PHI,54.3775,10.30859401272419,62.0%,7.34%,7.62%,3.66%,$35.30,36
Mikal Bridges,SF/SG/G/F/UTIL,NYK,42.198125000000005,5.33087161832556,51.54%,6.34%,5.17%,8.29%,$23.22,36
Keaton Wallace,PG/G/UTIL,ATL,29.14,9.0,47.05%,3.3%,17.89%,31.45%,$13.72,48
Buddy Hield,SF/SG/G/F/UTIL,GSW,31.18,8.56,69.79%,3.59%,0.57%,0.16%,$6.12,48
Victor Wembanyama,C/UTIL,SAS,60.1,18.93,31.27%,1.28%,20.22%,18.73%,$5.93,48
Jalen Brunson,PG/G/UTIL,NYK,52.833124999999995,14.03347749366776,39.95%,2.01%,38.93%,20.77%,$5.32,36
Jonathan Isaac,C/PF/F/UTIL,ORL,24.51,11.13,31.1%,1.65%,12.17%,11.68%,$5.24,48
David Roddy,PF/F/UTIL,ATL,19.92,8.44,28.57%,1.25%,11.79%,14.54%,$3.70,48
Daniel Gafford,C/UTIL,DAL,33.01,14.71,43.75%,2.79%,11.4%,35.07%,$2.79,48
Josh Hart,PF/SF/F/UTIL,NYK,47.490625,8.290598447427447,42.88%,2.3%,17.41%,5.81%,$2.44,36
Stephon Castle,PG/SG/G/UTIL,SAS,29.22,9.33,32.47%,1.42%,33.96%,38.25%,$2.08,48
Mark Williams,C/UTIL,CHA,36.11,14.58,25.22%,0.58%,14.49%,31.68%,$1.88,48
Javonte Green,PF/SF/F/UTIL,NOP,18.14,6.94,18.85%,7.68%,0.2%,0.1%,$1.83,48
Lindy Waters III,SF/SG/G/F/UTIL,GSW,15.14,6.84,45.36%,0.36%,0.05%,0.1%,$1.78,48
Wendell Carter Jr.,C/UTIL,ORL,32.62,10.12,38.04%,2.24%,8.75%,25.03%,$1.67,48
Alperen Sengun,C/UTIL,HOU,49.49,16.35,31.57%,2.19%,9.84%,13.0%,$1.04,48
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.65,11.19,28.2%,1.0%,27.79%,22.75%,$0.89,48
Devin Vassell,SF/SG/G/F/UTIL,SAS,34.9,9.77,28.38%,0.89%,21.22%,11.71%,$0.68,48
Garrison Mathews,SF/SG/G/F/UTIL,ATL,20.75,8.37,22.44%,1.03%,26.39%,17.91%,$-0.45,48
Josh Green,PF/SF/F/UTIL,CHA,16.34,4.78,15.8%,5.67%,0.27%,0.1%,$-0.58,48
OG Anunoby,PF/SF/F/UTIL,NYK,33.343125,6.1632947890104655,34.19%,1.42%,13.33%,14.78%,$-0.64,36
Onyeka Okongwu,C/UTIL,ATL,31.42,13.02,30.3%,1.15%,6.57%,19.08%,$-0.83,48
Dwight Powell,C/UTIL,DAL,4.62,3.08,45.05%,0.0%,0.05%,0.1%,$-0.85,48
Trayce Jackson-Davis,C/UTIL,GSW,33.5,11.77,25.4%,4.06%,0.32%,0.69%,$-1.20,48
Julius Randle,C/PF/F/UTIL,MIN,40.37,12.62,28.7%,1.33%,9.34%,5.02%,$-1.63,48
Jalen Green,SG/G/UTIL,HOU,38.69,9.78,24.12%,0.84%,5.8%,4.44%,$-1.71,48
Quentin Grimes,SF/SG/G/F/UTIL,DAL,29.74,10.59,25.44%,1.07%,13.69%,7.93%,$-1.75,48
Keyonte George,PG/G/UTIL,UTA,32.56,12.08,23.15%,1.69%,8.48%,11.08%,$-1.98,48
Andrew Wiggins,PF/SF/F/UTIL,GSW,33.38,9.29,24.08%,1.08%,6.67%,4.18%,$-2.06,48
PJ Washington,PF/F/UTIL,DAL,37.09,9.55,25.3%,1.56%,2.2%,1.49%,$-2.34,48
Nikola Jokic,C/UTIL,DEN,62.44,20.82,26.31%,0.97%,20.56%,17.69%,$-2.50,48
Naji Marshall,PF/SF/F/UTIL,DAL,27.03,10.02,22.14%,1.02%,4.28%,3.27%,$-2.95,48
Chris Paul,PG/G/UTIL,SAS,32.78,10.81,21.29%,0.76%,3.88%,4.45%,$-3.22,48
Drew Eubanks,C/UTIL,UTA,18.32,9.24,32.94%,0.0%,0.05%,0.12%,$-3.25,48
Harrison Barnes,PF/SF/F/UTIL,SAS,22.37,6.85,21.92%,0.69%,6.1%,4.48%,$-3.34,48
Bogdan Bogdanovic,SF/SG/G/F/UTIL,ATL,28.43,9.84,25.3%,0.76%,46.38%,34.79%,$-3.37,48
Trey Murphy III,SF/SG/G/F/UTIL,NOP,38.18,9.87,19.87%,0.89%,12.38%,5.78%,$-3.44,48
Kristaps Porzingis,C/UTIL,BOS,37.928836805555555,14.004163661891639,15.44%,0.67%,3.29%,5.94%,$-3.47,47
Giannis Antetokounmpo,C/PF/F/UTIL,MIL,56.92,21.85,21.25%,0.81%,26.93%,11.52%,$-3.55,48
Tristan da Silva,PF/SF/F/UTIL,ORL,25.34,7.09,22.37%,0.95%,5.1%,3.68%,$-3.65,48
Amen Thompson,SF/SG/G/F/UTIL,HOU,41.82,9.14,23.36%,0.3%,9.98%,3.86%,$-3.70,48
Svi Mykhailiuk,SF/SG/G/F/UTIL,UTA,18.53,9.54,22.16%,1.43%,0.34%,0.4%,$-3.73,48
Mike Conley,PG/G/UTIL,MIN,21.48,8.96,18.23%,0.73%,2.83%,4.91%,$-3.75,48
Kentavious Caldwell-Pope,SG/G/UTIL,ORL,22.68,5.97,22.05%,0.81%,0.25%,0.36%,$-3.75,48
Jaden Hardy,PG/SG/G/UTIL,DAL,22.57,10.04,12.99%,1.01%,2.18%,1.88%,$-3.86,48
