Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Ausar Thompson,PF/SF/F/UTIL,DET,28.15,11.77,46.5%,4.94%,17.33%,33.09%,$6.86,48
Deni Avdija,PF/SF/F/UTIL,POR,43.69,11.32,37.85%,3.05%,20.78%,11.66%,$3.88,48
Scotty Pippen Jr.,PG/G/UTIL,MEM,33.14,11.76,36.29%,2.71%,24.94%,45.07%,$3.40,48
Karl-Anthony Towns,C/UTIL,NYK,53.29,15.99,34.58%,2.3%,27.04%,25.34%,$2.48,48
Cameron Payne,PG/SG/G/UTIL,NYK,34.74,10.14,38.81%,2.5%,40.03%,51.75%,$2.37,48
Kel'el Ware,C/UTIL,MIA,30.36,9.9,23.37%,0.79%,3.66%,7.85%,$2.13,48
Dennis Schroder,PG/SG/G/UTIL,DET,40.41,10.87,41.76%,1.74%,58.34%,54.08%,$1.34,48
Alperen Sengun,C/UTIL,HOU,47.28,16.93,31.13%,2.41%,11.66%,12.59%,$1.23,48
Jonathan Kuminga,PF/F/UTIL,GSW,29.99,12.72,25.1%,1.28%,4.79%,5.47%,$0.92,48
Jaren Jackson Jr.,C/PF/F/UTIL,MEM,42.04,14.55,30.12%,1.87%,21.2%,12.89%,$0.46,48
Domantas Sabonis,C/UTIL,SAC,46.25,16.05,26.56%,1.29%,6.66%,6.99%,$0.23,48
Josh Hart,PF/SF/F/UTIL,NYK,42.18,9.24,30.26%,1.05%,16.9%,9.6%,$-0.04,48
Tobias Harris,PF/F/UTIL,DET,33.38,8.98,37.99%,1.23%,17.45%,13.81%,$-0.07,48
Walker Kessler,C/UTIL,UTA,38.36,13.5,27.41%,1.42%,9.32%,13.86%,$-0.10,48
Gary Payton II,SF/SG/G/F/UTIL,GSW,26.05,9.06,30.26%,1.21%,29.26%,25.23%,$-0.29,48
Draymond Green,C/PF/F/UTIL,GSW,35.09,9.68,25.84%,0.94%,4.49%,2.74%,$-0.63,48
Bam Adebayo,C/PF/F/UTIL,MIA,41.7,12.43,24.96%,1.05%,15.83%,8.72%,$-1.08,48
Kai Jones,C/UTIL,DAL,28.04,10.26,24.16%,1.13%,1.81%,4.93%,$-1.08,48
Brandin Podziemski,PG/SG/G/UTIL,GSW,34.36,8.28,24.17%,1.05%,7.23%,6.14%,$-1.10,48
Jalen Duren,C/UTIL,DET,39.15,15.35,35.07%,0.39%,21.46%,7.76%,$-1.26,48
OG Anunoby,PF/SF/F/UTIL,NYK,35.66,7.99,25.97%,0.67%,7.19%,4.1%,$-1.35,48
Isaiah Collier,PG/G/UTIL,UTA,28.89,10.14,18.12%,0.8%,2.2%,3.39%,$-1.38,48
Fred VanVleet,PG/G/UTIL,HOU,34.1,8.42,27.13%,0.63%,9.2%,12.88%,$-1.50,48
Andrew Wiggins,PF/SF/F/UTIL,MIA,33.16,8.79,25.6%,0.56%,13.07%,8.77%,$-1.57,48
Keyonte George,PG/G/UTIL,UTA,33.2,12.15,26.21%,1.04%,4.88%,6.83%,$-1.59,48
Paolo Banchero,PF/F/UTIL,ORL,47.69,14.45,28.7%,0.88%,15.18%,7.89%,$-1.60,48
Collin Sexton,PG/SG/G/UTIL,UTA,32.98,14.28,25.12%,1.1%,8.39%,7.88%,$-1.60,48
Trae Young,PG/G/UTIL,ATL,46.2,16.54,19.83%,0.43%,7.13%,5.11%,$-1.68,48
Tim Hardaway Jr.,SF/SG/G/F/UTIL,DET,21.53,7.02,19.44%,0.68%,1.84%,9.09%,$-1.69,48
Evan Mobley,C/PF/F/UTIL,CLE,42.28,15.3,24.64%,0.71%,10.66%,5.46%,$-1.75,48
Kobe Bufkin,PG/G/UTIL,ATL,0,0.0,5.75%,0.0%,0.01%,0.03%,$-1.93,48
Mikal Bridges,SF/SG/G/F/UTIL,NYK,33.66,7.37,24.87%,0.43%,6.49%,3.54%,$-2.03,48
Santi Aldama,PF/F/UTIL,MEM,32.43,11.54,24.14%,0.62%,4.7%,4.28%,$-2.09,48
Wendell Carter Jr.,C/UTIL,ORL,29.44,9.83,19.4%,0.28%,7.43%,5.89%,$-2.18,48
Desmond Bane,SG/G/UTIL,MEM,44.76,12.94,21.4%,0.52%,10.94%,8.58%,$-2.18,48
Sandro Mamukelashvili,C/PF/F/UTIL,SAS,21.76,11.56,11.16%,0.43%,1.17%,1.94%,$-2.21,48
Keldon Johnson,PF/SF/F/UTIL,SAS,24.39,10.07,25.44%,0.17%,11.11%,7.94%,$-2.24,48
Matisse Thybulle,SF/F/UTIL,POR,14.39,6.59,36.53%,0.0%,0.03%,0.1%,$-2.24,48
Dante Exum,PG/G/UTIL,DAL,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.24,48
Trayce Jackson-Davis,C/UTIL,GSW,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.24,48
Oscar Tshiebwe,C/UTIL,UTA,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.24,48
Yuki Kawamura,PG/G/UTIL,MEM,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.24,48
Luke Travers,SF/F/UTIL,CLE,0,0.0,0.0%,0.0%,0.01%,0.03%,$-2.24,48
